KG_Pair,k1,b,epsilon,C Hits@1,C Hits@5,C Hits@10,C Hits@20,C Hits@50,P Hits@1,P Hits@5,P Hits@10,P Hits@20,P Hits@50,Total_Time_Seconds
starwars-swg,0.0,0.75,,0.0,0.6,0.6,0.6,0.8,0.05,0.15,0.2,0.45,0.55,447.2688009738922
starwars-swtor,0.0,0.75,,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.21428571428571427,0.39285714285714285,0.5178571428571429,0.6964285714285714,0.9285714285714286,453.6572890281677
marvelcinematicuniverse-marvel,0.0,1.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.053359746933
memoryalpha-memorybeta,0.0,1.0,,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.32075471698113206,0.5849056603773585,0.7924528301886793,0.8490566037735849,0.8867924528301887,275.09549593925476
memoryalpha-stexpanded,0.0,1.0,,0.3076923076923077,0.6923076923076923,0.6923076923076923,0.9230769230769231,1.0,0.2682926829268293,0.6097560975609756,0.7560975609756098,0.8780487804878049,0.926829268292683,167.6750042438507
starwars-swg,0.0,1.0,,0.0,0.6,0.6,0.6,0.8,0.05,0.15,0.2,0.45,0.55,454.3816649913788
starwars-swtor,0.0,1.0,,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.21428571428571427,0.39285714285714285,0.5178571428571429,0.6964285714285714,0.9285714285714286,456.01008892059326
marvelcinematicuniverse-marvel,0.6,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.44933676719666
memoryalpha-memorybeta,0.6,0.0,,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.33962264150943394,0.5660377358490566,0.7735849056603774,0.8490566037735849,0.8867924528301887,272.088995218277
memoryalpha-stexpanded,0.6,0.0,,0.38461538461538464,0.6923076923076923,0.6923076923076923,0.8461538461538461,1.0,0.24390243902439024,0.5609756097560976,0.7317073170731707,0.8780487804878049,0.926829268292683,166.24121594429016
starwars-swg,0.6,0.0,,0.0,0.6,0.6,0.6,0.8,0.05,0.15,0.2,0.4,0.55,448.3538420200348
starwars-swtor,0.6,0.0,,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.16071428571428573,0.375,0.5714285714285714,0.6785714285714286,0.9107142857142857,451.78469705581665
marvelcinematicuniverse-marvel,0.6,0.3,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.7945008277893
memoryalpha-memorybeta,0.6,0.3,,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4716981132075472,0.7735849056603774,0.8490566037735849,0.8490566037735849,0.8867924528301887,272.0372259616852
memoryalpha-stexpanded,0.6,0.3,,0.6153846153846154,0.6923076923076923,0.8461538461538461,1.0,1.0,0.43902439024390244,0.6829268292682927,0.7804878048780488,0.8780487804878049,0.926829268292683,166.61456823349
starwars-swg,0.6,0.3,,0.4,0.6,0.6,0.6,0.8,0.05,0.15,0.25,0.45,0.55,448.3686740398407
starwars-swtor,0.6,0.3,,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.32142857142857145,0.5357142857142857,0.6607142857142857,0.75,0.9285714285714286,451.9656798839569
marvelcinematicuniverse-marvel,0.6,0.75,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5454545454545454,447.7949011325836
memoryalpha-memorybeta,0.6,0.75,,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5471698113207547,0.8113207547169812,0.8301886792452831,0.8679245283018868,0.9056603773584906,272.240519285202
memoryalpha-stexpanded,0.6,0.75,,0.6153846153846154,0.6923076923076923,0.9230769230769231,1.0,1.0,0.4878048780487805,0.7317073170731707,0.8292682926829268,0.8780487804878049,0.926829268292683,167.99256086349487
starwars-swg,0.6,0.75,,0.4,0.6,0.6,0.6,0.8,0.05,0.2,0.35,0.45,0.6,447.8040840625763
starwars-swtor,0.6,0.75,,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.4107142857142857,0.5892857142857143,0.6607142857142857,0.8214285714285714,0.9821428571428571,450.9361672401428
marvelcinematicuniverse-marvel,0.6,1.0,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5454545454545454,448.0261859893799
